Bladewind	swordfall			0	1						Sprite		Polar		bladewind	90	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	180,50(30),50	15,15,45	0	0	217	0	0	0,128,192,224(30),224(60),128,64,0	0,0(30),192(60),0	127,127(30),192(60),127	64,64(30),0(60),64						
Bladewind	swordspin0	30		0	1						Sprite		Polar		bladewind	60	Add	0				0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,360(30),720	0	0,30,0	15	0	0	217	0	0	224,224,224,128,64,0	0,192(30),0	127,192(30),127	64,0(30),64						
Bladewind	swordspin1	30		0	1						Sprite		Polar		bladewind	60	Add	0				0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45,405(30),765	0	0,30,0	15	0	0	217	0	0	224,224,224,128,64,0	0,192(30),0	127,192(30),127	64,0(30),64						
Bladewind	swordspin2	30		0	1						Sprite		Polar		bladewind	60	Add	0				0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90,450(30),810	0	0,30,0	15	0	0	217	0	0	224,224,224,128,64,0	0,192(30),0	127,192(30),127	64,0(30),64						
Bladewind	swordspin3	30		0	1						Sprite		Polar		bladewind	60	Add	0				0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135,495(30),855	0	0,30,0	15	0	0	217	0	0	224,224,224,128,64,0	0,192(30),0	127,192(30),127	64,0(30),64						
Bladewind	swordspin4	30		0	1						Sprite		Polar		bladewind	60	Add	0				0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180,540(30),900	0	0,30,0	15	0	0	217	0	0	224,224,224,128,64,0	0,192(30),0	127,192(30),127	64,0(30),64						
Bladewind	swordspin5	30		0	1						Sprite		Polar		bladewind	60	Add	0				0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225,585(30),945	0	0,30,0	15	0	0	217	0	0	224,224,224,128,64,0	0,192(30),0	127,192(30),127	64,0(30),64						
Bladewind	swordspin6	30		0	1						Sprite		Polar		bladewind	60	Add	0				0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270,630(30),990	0	0,30,0	15	0	0	217	0	0	224,224,224,128,64,0	0,192(30),0	127,192(30),127	64,0(30),64						
Bladewind	swordspin7	30		0	1						Sprite		Polar		bladewind	60	Add	0				0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315,675(30),1035	0	0,30,0	15	0	0	217	0	0	224,224,224,128,64,0	0,192(30),0	127,192(30),127	64,0(30),64						
Mind Blade-hit	ectoplasm			5	500		Bones				Sprite		Polar		bubble0	15	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,50	0	0?360	60,-45	0,30	2?7	0	0	0?360	0	0	0,255,200,150,100,50,0	64	192	128						70
Mind Blade-hit	ectoplasm burst			0	300		Bones				Sprite		Polar		flare-2	15	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,50	0	0?360	0	0,30	10,0	0	0	0?360	0	0	0,255,200,150,100,50,0	64	255	128						70
Mind Blade-hit	ectoplasm drip	10		0	150		Bones				Sprite		Polar		bubble1	15	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,50	0	0?360	-30,-60	0,30	1?5	0	0	0?360	0	0	0,255,200,150,100,50,0	64	192	128						70
Mind Blade Manifest	Burst	35		1	5000		Node Pos	bip01 r hand			Sprite		Polar		bubble1	10	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0?360	360,0,360	0,30	5	0	0	0?360	0	0	192?255	0	64,0	32,0						5
Mind Blade Manifest	Hand Glow			20	15		Node Pos	bip01 r hand			Sprite		Polar		fire-sprite	40	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2?2	-2?2	-2?2	5?25	0	0	0?360	0	0	0,64(20),0(30),0	0	128?255	128						5
Mind Blade Manifest	Arm Glow			20	15		Node Pos	bip01 R upperarm			Sprite		Polar		fire-sprite	40	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5?25	0	0	0?360	0	0	0,64(15),64(20),0(35),0	0	128?255	128						5
Mind Blade Manifest	Head Glow			20	15		Node Pos	bip01 head			Sprite		Polar		fire-sprite	40	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5?25	0	0	0?360	0	0	0,64(10),64(20),0	0	128?255	128						5
Mind Blade Manifest	Section 1 cloud			20	20		Node Pos	bip01 r hand			Sprite		Polar		fire1	25	Subtract	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,120	-45,0	90,0	10?15	0	0	360,0	0	0	64?192	192?255	192?255	192?255						5
Mind Blade Manifest	Section 2 cloud			20	20		Node Pos	bip01 r hand			Sprite		Polar		fire1	25	Subtract	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120,240	-45,0	90,0	10?15	0	0	360,0	0	0	64?192	192?255	192?255	192?255						5
Mind Blade Manifest	Section 3 cloud			20	20		Node Pos	bip01 r hand			Sprite		Polar		fire1	25	Subtract	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240,360	-45,0	90,0	10?15	0	0	360,0	0	0	64?192	192?255	192?255	192?255						5
Mind Blade Manifest	Section 1 sparkle			20	20		Node Pos	bip01 r hand			Sprite		Polar		flare-small	25	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,80,40,120	-45,0	90,0	10?15	0	0	0	0	0	128?255	192?255	192?255	192?255						5
Mind Blade Manifest	Section 2 sparkle			20	20		Node Pos	bip01 r hand			Sprite		Polar		flare-small	25	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120,200,160,240	-45,0	90,0	10?15	0	0	0	0	0	128?255	192?255	192?255	192?255						5
Mind Blade Manifest	Section 3 sparkle			20	20		Node Pos	bip01 r hand			Sprite		Polar		flare-small	25	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240,320,280,360	-45,0	90,0	10?15	0	0	0	0	0	128?255	192?255	192?255	192?255						5
